State,Year,Cases
PERLIS,1999,46
KEDAH,1999,892
PULAU PINANG,1999,585
PERAK,1999,1047
SELANGOR,1999,1956
WPKL/PUTRAJAYA,1999,1329
N.SEMBILAN,1999,427
MELAKA,1999,229
JOHOR,1999,957
PAHANG,1999,782
TERENGGANU,1999,433
KELANTAN,1999,444
SARAWAK,1999,675
SABAH,1999,344
LABUAN,1999,0
PERLIS,2000,29
KEDAH,2000,471
PULAU PINANG,2000,160
PERAK,2000,387
SELANGOR,2000,1439
WPKL/PUTRAJAYA,2000,494
N.SEMBILAN,2000,765
MELAKA,2000,104
JOHOR,2000,1434
PAHANG,2000,390
TERENGGANU,2000,125
KELANTAN,2000,368
SARAWAK,2000,784
SABAH,2000,153
LABUAN,2000,0
PERLIS,2001,157
KEDAH,2001,590
PULAU PINANG,2001,2288
PERAK,2001,1391
SELANGOR,2001,3828
WPKL/PUTRAJAYA,2001,2069
N.SEMBILAN,2001,992
MELAKA,2001,129
JOHOR,2001,2346
PAHANG,2001,597
TERENGGANU,2001,271
KELANTAN,2001,1007
SARAWAK,2001,461
SABAH,2001,242
LABUAN,2001,0
PERLIS,2002,179
KEDAH,2002,751
PULAU PINANG,2002,941
PERAK,2002,3278
SELANGOR,2002,9385
WPKL/PUTRAJAYA,2002,6723
N.SEMBILAN,2002,1574
MELAKA,2002,355
JOHOR,2002,3952
PAHANG,2002,1299
TERENGGANU,2002,1176
KELANTAN,2002,1778
SARAWAK,2002,994
SABAH,2002,382
LABUAN,2002,0
PERLIS,2003,148
KEDAH,2003,1278
PULAU PINANG,2003,746
PERAK,2003,4418
SELANGOR,2003,6769
WPKL/PUTRAJAYA,2003,5629
N.SEMBILAN,2003,2032
MELAKA,2003,632
JOHOR,2003,3249
PAHANG,2003,1487
TERENGGANU,2003,833
KELANTAN,2003,2676
SARAWAK,2003,856
SABAH,2003,792
LABUAN,2003,0
PERLIS,2004,398
KEDAH,2004,1742
PULAU PINANG,2004,1767
PERAK,2004,3108
SELANGOR,2004,9189
WPKL/PUTRAJAYA,2004,6288
N.SEMBILAN,2004,1584
MELAKA,2004,865
JOHOR,2004,3056
PAHANG,2004,1597
TERENGGANU,2004,1103
KELANTAN,2004,1682
SARAWAK,2004,568
SABAH,2004,930
LABUAN,2004,18
PERLIS,2005,324
KEDAH,2005,1862
PULAU PINANG,2005,3527
PERAK,2005,3082
SELANGOR,2005,12705
WPKL/PUTRAJAYA,2005,5680
