State,Year,Cases
Perlis,1999,46
Kedah,1999,892
Pulau Pinang,1999,585
Perak,1999,1047
Selangor,1999,1956
Putrajaya,1999,1329
Negeri Sembilan,1999,427
Melaka,1999,229
Johor,1999,957
Pahang,1999,782
Terengganu,1999,433
Kelantan,1999,444
Sarawak,1999,675
Sabah,1999,344
Labuan,1999,0
Perlis,2000,29
Kedah,2000,471
Pulau Pinang,2000,160
Perak,2000,387
Selangor,2000,1439
Putrajaya,2000,494
Negeri Sembilan,2000,765
Melaka,2000,104
Johor,2000,1434
Pahang,2000,390
Terengganu,2000,125
Kelantan,2000,368
Sarawak,2000,784
Sabah,2000,153
Labuan,2000,0
Perlis,2001,157
Kedah,2001,590
Pulau Pinang,2001,2288
Perak,2001,1391
Selangor,2001,3828
Putrajaya,2001,2069
Negeri Sembilan,2001,992
Melaka,2001,129
Johor,2001,2346
Pahang,2001,597
Terengganu,2001,271
Kelantan,2001,1007
Sarawak,2001,461
Sabah,2001,242
Labuan,2001,0
Perlis,2002,179
Kedah,2002,751
Pulau Pinang,2002,941
Perak,2002,3278
Selangor,2002,9385
Putrajaya,2002,6723
Negeri Sembilan,2002,1574
Melaka,2002,355
Johor,2002,3952
Pahang,2002,1299
Terengganu,2002,1176
Kelantan,2002,1778
Sarawak,2002,994
Sabah,2002,382
Labuan,2002,0
Perlis,2003,148
Kedah,2003,1278
Pulau Pinang,2003,746
Perak,2003,4418
Selangor,2003,6769
Putrajaya,2003,5629
Negeri Sembilan,2003,2032
Melaka,2003,632
Johor,2003,3249
Pahang,2003,1487
Terengganu,2003,833
Kelantan,2003,2676
Sarawak,2003,856
Sabah,2003,792
Labuan,2003,0
Perlis,2004,398
Kedah,2004,1742
Pulau Pinang,2004,1767
Perak,2004,3108
Selangor,2004,9189
Putrajaya,2004,6288
Negeri Sembilan,2004,1584
Melaka,2004,865
Johor,2004,3056
Pahang,2004,1597
Terengganu,2004,1103
Kelantan,2004,1682
Sarawak,2004,568
Sabah,2004,930
Labuan,2004,18
Perlis,2005,324
Kedah,2005,1862
Pulau Pinang,2005,3527
Perak,2005,3082
Selangor,2005,12705
Putrajaya,2005,5680
Negeri Sembilan,2005,1379
Melaka,2005,909
Johor,2005,2974
Pahang,2005,1823
Terengganu,2005,747
Kelantan,2005,1326
Sarawak,2005,1411
Sabah,2005,1901
Labuan,2005,36
Perlis,2006,193
Kedah,2006,1907
Pulau Pinang,2006,2653
Perak,2006,2007
