State,Year,Cases,Real_Population,Cases_Per_100k,Cases_Per_10k,Cases_Per_1k
PERLIS,1999,46,205700.0,22.36266407389402,2.236266407389402,0.2236266407389402
KEDAH,1999,892,1636500.0,54.50656889703636,5.450656889703636,0.5450656889703636
PULAU PINANG,1999,585,1307500.0,44.74187380497132,4.474187380497132,0.44741873804971316
PERAK,1999,1047,2076700.0,50.41652621948283,5.041652621948283,0.5041652621948284
SELANGOR,1999,1956,3981900.0,49.12227830934981,4.912227830934981,0.4912227830934981
WPKL/PUTRAJAYA,1999,1329,1394000.0,95.33715925394549,9.533715925394548,0.9533715925394548
N.SEMBILAN,1999,427,849500.0,50.26486168334314,5.026486168334314,0.5026486168334314
MELAKA,1999,229,633100.0,36.17122097614911,3.617122097614911,0.3617122097614911
JOHOR,1999,957,2699400.0,35.45232273838631,3.545232273838631,0.35452322738386305
PAHANG,1999,782,1272500.0,61.45383104125737,6.145383104125736,0.6145383104125737
TERENGGANU,1999,433,896600.0,48.2935534240464,4.829355342404639,0.482935534240464
KELANTAN,1999,444,1344700.0,33.01851714136982,3.301851714136982,0.33018517141369824
SARAWAK,1999,675,2024500.0,33.341565818720674,3.334156581872067,0.3334156581872067
SABAH,1999,344,2513500.0,13.686095086532724,1.3686095086532724,0.13686095086532724
LABUAN,1999,0,73300.0,0.0,0.0,0.0
PERLIS,2000,29,207600.0,13.96917148362235,1.396917148362235,0.1396917148362235
KEDAH,2000,471,1671900.0,28.171541360129197,2.817154136012919,0.28171541360129193
PULAU PINANG,2000,160,1332700.0,12.005702708786671,1.2005702708786674,0.12005702708786674
PERAK,2000,387,2091700.0,18.50169718410862,1.850169718410862,0.1850169718410862
SELANGOR,2000,1439,4188900.0,34.35269402468429,3.4352694024684287,0.3435269402468429
WPKL/PUTRAJAYA,2000,494,1416000.0,34.88700564971752,3.4887005649717513,0.3488700564971751
N.SEMBILAN,2000,765,866100.0,88.32698302736404,8.832698302736404,0.8832698302736405
MELAKA,2000,104,646600.0,16.084132384781935,1.6084132384781935,0.16084132384781935
JOHOR,2000,1434,2762500.0,51.90950226244343,5.190950226244343,0.5190950226244343
PAHANG,2000,390,1295800.0,30.09723722796728,3.009723722796728,0.3009723722796728
TERENGGANU,2000,125,902600.0,13.848881010414358,1.3848881010414358,0.13848881010414357
KELANTAN,2000,368,1361400.0,27.03099750257088,2.7030997502570884,0.2703099750257088
SARAWAK,2000,784,2071500.0,37.84697079411055,3.7846970794110546,0.37846970794110546
SABAH,2000,153,2603500.0,5.876704436335702,0.5876704436335701,0.058767044363357016
LABUAN,2000,0,76100.0,0.0,0.0,0.0
PERLIS,2001,157,210400.0,74.61977186311788,7.461977186311787,0.7461977186311788
KEDAH,2001,590,1703900.0,34.62644521392101,3.4626445213921007,0.3462644521392101
