TAHUN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Kumulatif
NEGERI,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,Kes,kes
PERLIS,46,29,157,179,148,398,324,193,311,184,191,215,110,172,226,317,258,183,175,369,288,4473
KEDAH,892,471,590,751,1278,1742,1862,1907,2584,1678,750,782,514,817,813,1014,1000,994,1430,2190,1587,25646
PULAU PINANG,585,160,2288,941,746,1767,3527,2653,3106,2324,2444,1834,1579,791,1053,3141,5830,2576,2681,6071,4119,50216
PERAK,1047,387,1391,3278,4418,3108,3082,2007,2889,4219,2734,2288,1411,1716,2519,7525,9466,3777,5411,2736,3226,68635
SELANGOR,1956,1439,3828,9385,6769,9189,12705,12264,15891,21262,18676,16367,7758,9113,23852,54290,63198,51652,45290,45349,72543,502776
WPKL/PUTRAJAYA,1329,494,2069,6723,5629,6288,5680,7804,7439,5446,3746,4205,2038,1814,2570,7185,8332,8663,8350,7591,15424,118819
N.SEMBILAN,427,765,992,1574,2032,1584,1379,1201,1275,1405,1057,1501,737,552,1198,3781,2454,2879,3055,1864,2305,34017
MELAKA,229,104,129,355,632,865,909,957,732,830,769,1485,450,449,1505,2770,2420,2299,1425,722,2156,22192
JOHOR,957,1434,2346,3952,3249,3056,2974,2726,3363,3908,2528,4406,1583,1650,4828,6323,15743,10641,7932,5885,10873,100357
PAHANG,782,390,597,1299,1487,1597,1823,1358,2657,1327,907,1688,894,641,725,2170,3001,3050,1690,990,2873,31946
TERENGGANU,433,125,271,1176,833,1103,747,726,1269,1721,968,1472,675,739,600,1688,1455,2009,292,550,542,19394
KELANTAN,444,368,1007,1778,2676,1682,1326,2014,3503,2399,1031,3578,743,1245,1427,14456,2850,6180,2515,1950,6003,59175
SARAWAK,675,784,461,994,856,568,1411,1821,1845,1517,4490,4240,974,1519,1292,2571,1923,2773,952,823,2648,35137
SABAH,344,153,242,382,792,930,1901,911,1953,1045,1170,2091,402,672,724,1456,2904,3668,2560,3423,5478,33201
LABUAN,0,0,0,0,0,18,36,14,29,70,25,19,16,10,14,11,2,13,91,102,36,506
