Year,State,Dengue_Cases,Avg_Rainfall_mm,Avg_Min_Temp_C,Avg_Max_Temp_C,Avg_Temp_C
2018,JOHOR,5885,2266.5249999999996,23.825,31.875,27.85
2019,JOHOR,10873,2174.525,24.025,32.5,28.2625
2020,JOHOR,11622,2458.8,24.225,32.075,28.150000000000002
2021,JOHOR,1775,2635.2,23.95,31.825000000000003,27.887500000000003
2018,KEDAH,2190,2202.2,24.85,32.45,28.650000000000002
2019,KEDAH,1587,2296.95,25.15,32.9,29.025
2020,KEDAH,780,2570.0,25.0,32.75,28.875
2021,KEDAH,644,2272.0,24.7,32.25,28.475
2018,KELANTAN,1950,2592.1,23.9,32.1,28.0
2019,KELANTAN,6003,1758.0666666666666,23.96666666666667,32.300000000000004,28.133333333333336
2020,KELANTAN,3889,3189.7333333333336,24.099999999999998,32.0,28.049999999999997
2021,KELANTAN,223,2796.7,23.766666666666666,31.633333333333336,27.700000000000003
2018,MELAKA,722,2249.4,24.2,31.8,28.0
2019,MELAKA,2156,1616.8,24.5,32.5,28.5
2020,MELAKA,2843,1712.2,24.0,32.3,28.15
2021,MELAKA,611,2506.0,24.1,31.7,27.9
2018,PAHANG,990,2406.56,22.02,30.74,26.38
2019,PAHANG,2873,1737.6200000000001,22.04,31.1,26.57
2020,PAHANG,3220,2262.12,22.259999999999998,30.76,26.509999999999998
2021,PAHANG,428,2641.875,22.06,30.439999999999998,26.25
2018,PERAK,2736,2415.3333333333335,23.900000000000002,32.733333333333334,28.31666666666667
2019,PERAK,3226,2083.8333333333335,24.2,33.36666666666667,28.78333333333333
2020,PERAK,2665,2479.1666666666665,24.266666666666666,32.96666666666667,28.616666666666667
2021,PERAK,557,2336.866666666667,23.766666666666666,32.766666666666666,28.266666666666666
2018,PERLIS,369,1839.6,24.5,33.4,28.95
2019,PERLIS,288,1553.8,24.2,33.4,28.799999999999997
2020,PERLIS,80,2195.0,24.3,33.2,28.75
2021,PERLIS,21,2081.0,24.1,32.8,28.45
2018,PULAU PINANG,6071,2374.7,24.85,32.05,28.45
2019,PULAU PINANG,4119,1949.5500000000002,25.1,32.55,28.825
2020,PULAU PINANG,1043,1996.0,25.1,32.150000000000006,28.625000000000004
2021,PULAU PINANG,406,2107.5,24.8,31.9,28.35
2018,SABAH,3423,2512.2250000000004,24.35,31.925,28.137500000000003
2019,SABAH,5478,1749.7333333333333,23.316666666666666,31.78333333333333,27.549999999999997
2020,SABAH,4078,2372.7166666666667,23.516666666666666,31.416666666666668,27.46666666666667
2021,SABAH,1763,2711.866666666667,23.233333333333334,31.133333333333336,27.183333333333337
2018,SARAWAK,823,3918.5199999999995,23.64,32.1,27.87
2019,SARAWAK,2648,2314.8625,23.8,32.775,28.2875
2020,SARAWAK,1516,3961.35,23.9375,32.35,28.14375
2021,SARAWAK,426,3991.925,23.6,32.262499999999996,27.93125
2018,SELANGOR,45349,3317.1666666666665,24.766666666666666,32.73333333333333,28.749999999999996
2019,SELANGOR,72543,2895.8333333333335,25.066666666666666,33.333333333333336,29.200000000000003
2020,SELANGOR,44635,3139.2000000000003,25.133333333333336,33.1,29.116666666666667
2021,SELANGOR,15741,2812.1000000000004,24.7,32.833333333333336,28.766666666666666
2018,TERENGGANU,550,2646.0,24.6,31.5,28.05
2019,TERENGGANU,542,1603.5,24.35,31.65,28.0
2020,TERENGGANU,404,3238.8,24.5,31.4,27.95
2021,TERENGGANU,49,2518.3999999999996,24.15,31.15,27.65
