Year,State,Avg_Temp_C,Avg_Rainfall_mm,Dengue_Cases,State_Rank
2018,Johor,27.85,2266.525,5885,3
2018,Kedah,28.65,2202.2,2190,6
2018,Kelantan,28,2592.1,1950,7
2018,Melaka,28,2249.4,722,10
2018,Pahang,26.38,2406.56,990,8
2018,Perak,28.31666667,2415.333333,2736,5
2018,Perlis,28.95,1839.6,369,12
2018,Pulau Pinang,28.45,2374.7,6071,2
2018,Sabah,28.1375,2512.225,3423,4
2018,Sarawak,27.87,3918.52,823,9
2018,Selangor,28.75,3317.166667,45349,1
2018,Terengganu,28.05,2646,550,11
2018,Wp Labuan,27.9,3033.2,102,13
2019,Johor,28.2625,2174.525,10873,2
2019,Kedah,29.025,2296.95,1587,10
2019,Kelantan,28.13333333,1758.066667,6003,3
2019,Melaka,28.5,1616.8,2156,9
2019,Pahang,26.57,1737.62,2873,7
2019,Perak,28.78333333,2083.833333,3226,6
2019,Perlis,28.8,1553.8,288,12
2019,Pulau Pinang,28.825,1949.55,4119,5
2019,Sabah,27.55,1749.733333,5478,4
2019,Sarawak,28.2875,2314.8625,2648,8
2019,Selangor,29.2,2895.833333,72543,1
2019,Terengganu,28,1603.5,542,11
2019,Wp Labuan,28.45,3433.6,36,13
2020,Johor,28.15,2458.8,11622,2
2020,Kedah,28.875,2570,780,10
2020,Kelantan,28.05,3189.733333,3889,4
2020,Melaka,28.15,1712.2,2843,6
2020,Pahang,26.51,2262.12,3220,5
2020,Perak,28.61666667,2479.166667,2665,7
2020,Perlis,28.75,2195,80,12
2020,Pulau Pinang,28.625,1996,1043,9
2020,Sabah,27.46666667,2372.716667,4078,3
2020,Sarawak,28.14375,3961.35,1516,8
2020,Selangor,29.11666667,3139.2,44635,1
2020,Terengganu,27.95,3238.8,404,11
2020,Wp Labuan,28.2,4301.3,7,13
2021,Johor,27.8875,2635.2,1775,2
2021,Kedah,28.475,2272,644,4
2021,Kelantan,27.7,2796.7,223,10
2021,Melaka,27.9,2506,611,5
2021,Pahang,26.25,2641.875,428,7
2021,Perak,28.26666667,2336.866667,557,6
2021,Perlis,28.45,2081,21,12
2021,Pulau Pinang,28.35,2107.5,406,9
2021,Sabah,27.18333333,2711.866667,1763,3
2021,Sarawak,27.93125,3991.925,426,8
2021,Selangor,28.76666667,2812.1,15741,1
2021,Terengganu,27.65,2518.4,49,11
2021,Wp Labuan,27.65,4127.5,5,13
