TAHUN,KUMPULAN UMUR,State,Cases,Age_Sort_Order,Age_Category
2018,0-4,JOHOR,645,1,0-19
2018,5-9,JOHOR,277,2,0-19
2018,10-14,JOHOR,416,3,0-19
2018,15-19,JOHOR,577,4,0-19
2018,20-24,JOHOR,626,5,20-39
2018,25-29,JOHOR,601,6,20-39
2018,30-34,JOHOR,573,7,20-39
2018,35-39,JOHOR,480,8,20-39
2018,40-44,JOHOR,350,9,40-59
2018,45-49,JOHOR,536,10,40-59
2018,50-54,JOHOR,258,11,40-59
2018,55-59,JOHOR,217,12,40-59
2018,60-64,JOHOR,173,13,>59
2018,65-69,JOHOR,79,14,>59
2018,70-74,JOHOR,44,15,>59
2018,>75,JOHOR,33,16,>59
2019,0-4,JOHOR,691,1,0-19
2019,5-9,JOHOR,516,2,0-19
2019,10-14,JOHOR,883,3,0-19
2019,15-19,JOHOR,1194,4,0-19
2019,20-24,JOHOR,1307,5,20-39
2019,25-29,JOHOR,1193,6,20-39
2019,30-34,JOHOR,1099,7,20-39
2019,35-39,JOHOR,908,8,20-39
2019,40-44,JOHOR,707,9,40-59
2019,45-49,JOHOR,789,10,40-59
2019,50-54,JOHOR,491,11,40-59
2019,55-59,JOHOR,416,12,40-59
2019,60-64,JOHOR,295,13,>59
2019,65-69,JOHOR,189,14,>59
2019,70-74,JOHOR,110,15,>59
2019,>75,JOHOR,85,16,>59
2020,0-4,JOHOR,557,1,0-19
2020,5-9,JOHOR,554,2,0-19
2020,10-14,JOHOR,882,3,0-19
2020,15-19,JOHOR,1255,4,0-19
2020,20-24,JOHOR,1402,5,20-39
2020,25-29,JOHOR,1426,6,20-39
2020,30-34,JOHOR,1268,7,20-39
2020,35-39,JOHOR,1002,8,20-39
2020,40-44,JOHOR,776,9,40-59
2020,45-49,JOHOR,643,10,40-59
2020,50-54,JOHOR,587,11,40-59
2020,55-59,JOHOR,437,12,40-59
2020,60-64,JOHOR,367,13,>59
2020,65-69,JOHOR,212,14,>59
2020,70-74,JOHOR,132,15,>59
2020,>75,JOHOR,122,16,>59
2021,0-4,JOHOR,150,1,0-19
2021,5-9,JOHOR,93,2,0-19
2021,10-14,JOHOR,123,3,0-19
2021,15-19,JOHOR,132,4,0-19
2021,20-24,JOHOR,180,5,20-39
2021,25-29,JOHOR,192,6,20-39
2021,30-34,JOHOR,188,7,20-39
2021,35-39,JOHOR,149,8,20-39
2021,40-44,JOHOR,115,9,40-59
2021,45-49,JOHOR,106,10,40-59
2021,50-54,JOHOR,83,11,40-59
2021,55-59,JOHOR,83,12,40-59
2021,60-64,JOHOR,57,13,>59
2021,65-69,JOHOR,57,14,>59
2021,70-74,JOHOR,32,15,>59
2021,>75,JOHOR,35,16,>59
2018,0-4,KEDAH,60,1,0-19
2018,5-9,KEDAH,92,2,0-19
2018,10-14,KEDAH,140,3,0-19
2018,15-19,KEDAH,218,4,0-19
2018,20-24,KEDAH,209,5,20-39
2018,25-29,KEDAH,198,6,20-39
2018,30-34,KEDAH,207,7,20-39
2018,35-39,KEDAH,176,8,20-39
2018,40-44,KEDAH,130,9,40-59
2018,45-49,KEDAH,160,10,40-59
2018,50-54,KEDAH,165,11,40-59
2018,55-59,KEDAH,158,12,40-59
2018,60-64,KEDAH,115,13,>59
2018,65-69,KEDAH,78,14,>59
2018,70-74,KEDAH,38,15,>59
2018,>75,KEDAH,46,16,>59
2019,0-4,KEDAH,57,1,0-19
2019,5-9,KEDAH,90,2,0-19
2019,10-14,KEDAH,121,3,0-19
2019,15-19,KEDAH,154,4,0-19
2019,20-24,KEDAH,150,5,20-39
2019,25-29,KEDAH,163,6,20-39
2019,30-34,KEDAH,146,7,20-39
2019,35-39,KEDAH,118,8,20-39
2019,40-44,KEDAH,86,9,40-59
2019,45-49,KEDAH,113,10,40-59
2019,50-54,KEDAH,97,11,40-59
2019,55-59,KEDAH,97,12,40-59
2019,60-64,KEDAH,77,13,>59
2019,65-69,KEDAH,42,14,>59
2019,70-74,KEDAH,40,15,>59
2019,>75,KEDAH,36,16,>59
2020,0-4,KEDAH,37,1,0-19
2020,5-9,KEDAH,33,2,0-19
2020,10-14,KEDAH,55,3,0-19
2020,15-19,KEDAH,83,4,0-19
2020,20-24,KEDAH,76,5,20-39
2020,25-29,KEDAH,60,6,20-39
2020,30-34,KEDAH,75,7,20-39
2020,35-39,KEDAH,61,8,20-39
2020,40-44,KEDAH,33,9,40-59
2020,45-49,KEDAH,37,10,40-59
2020,50-54,KEDAH,54,11,40-59
2020,55-59,KEDAH,63,12,40-59
2020,60-64,KEDAH,38,13,>59
2020,65-69,KEDAH,26,14,>59
2020,70-74,KEDAH,20,15,>59
2020,>75,KEDAH,29,16,>59
2021,0-4,KEDAH,30,1,0-19
2021,5-9,KEDAH,24,2,0-19
2021,10-14,KEDAH,45,3,0-19
2021,15-19,KEDAH,53,4,0-19
2021,20-24,KEDAH,73,5,20-39
2021,25-29,KEDAH,74,6,20-39
2021,30-34,KEDAH,68,7,20-39
2021,35-39,KEDAH,58,8,20-39
2021,40-44,KEDAH,23,9,40-59
2021,45-49,KEDAH,37,10,40-59
2021,50-54,KEDAH,24,11,40-59
2021,55-59,KEDAH,32,12,40-59
2021,60-64,KEDAH,34,13,>59
2021,65-69,KEDAH,27,14,>59
2021,70-74,KEDAH,20,15,>59
2021,>75,KEDAH,22,16,>59
2018,0-4,KELANTAN,101,1,0-19
2018,5-9,KELANTAN,133,2,0-19
2018,10-14,KELANTAN,197,3,0-19
2018,15-19,KELANTAN,261,4,0-19
2018,20-24,KELANTAN,218,5,20-39
2018,25-29,KELANTAN,166,6,20-39
2018,30-34,KELANTAN,184,7,20-39
2018,35-39,KELANTAN,116,8,20-39
2018,40-44,KELANTAN,107,9,40-59
2018,45-49,KELANTAN,109,10,40-59
2018,50-54,KELANTAN,92,11,40-59
2018,55-59,KELANTAN,83,12,40-59
2018,60-64,KELANTAN,69,13,>59
2018,65-69,KELANTAN,68,14,>59
2018,70-74,KELANTAN,26,15,>59
2018,>75,KELANTAN,20,16,>59
2019,0-4,KELANTAN,219,1,0-19
2019,5-9,KELANTAN,370,2,0-19
2019,10-14,KELANTAN,638,3,0-19
