date,year,month,month_name,cases,temperature,humidity,rainfall
1/1/2013,2013,1,January,3007,28,79,238
1/2/2013,2013,2,February,2262,27,82,332
1/3/2013,2013,3,March,2665,28,78,181
1/4/2013,2013,4,April,2606,28,82,302
1/5/2013,2013,5,May,3828,29,78,263
1/6/2013,2013,6,June,4768,29,72,152
1/7/2013,2013,7,July,3656,28,78,178
1/8/2013,2013,8,August,3199,28,76,198
1/9/2013,2013,9,September,4412,27,79,251
1/10/2013,2013,10,October,6308,27,80,275
1/11/2013,2013,11,November,6954,27,83,336
1/12/2013,2013,12,December,7743,27,80,396
1/1/2014,2014,1,January,10499,27,73,238
1/2/2014,2014,2,February,8742,29,66,101
1/3/2014,2014,3,March,5817,29,70,163
1/4/2014,2014,4,April,4208,28,81,226
1/5/2014,2014,5,May,6615,28,81,262
1/6/2014,2014,6,June,7419,29,74,162
1/7/2014,2014,7,July,10666,29,74,139
1/8/2014,2014,8,August,11465,28,78,302
1/9/2014,2014,9,September,8643,28,79,209
1/10/2014,2014,10,October,8607,28,80,285
1/11/2014,2014,11,November,9463,27,84,363
1/12/2014,2014,12,December,10120,27,84,387
1/1/2015,2015,1,January,5716,27,75,290
1/2/2015,2015,2,February,10526,28,68,135
1/3/2015,2015,3,March,7638,28,75,163
1/4/2015,2015,4,April,5869,28,78,237
1/5/2015,2015,5,May,8320,28,79,231
1/6/2015,2015,6,June,10738,28,79,185
1/7/2015,2015,7,July,11830,28,78,167
1/8/2015,2015,8,August,10429,28,76,210
1/9/2015,2015,9,September,9188,28,79,198
1/10/2015,2015,10,October,9322,28,78,238
1/11/2015,2015,11,November,8709,27,84,392
1/12/2015,2015,12,December,10557,27,81,230
1/1/2016,2016,1,January,14478,28,75,165
1/2/2016,2016,2,February,11026,28,73,197
1/3/2016,2016,3,March,9401,29,73,152
1/4/2016,2016,4,April,6648,29,75,191
1/5/2016,2016,5,May,5273,28,81,277
1/6/2016,2016,6,June,7086,28,79,206
1/7/2016,2016,7,July,7879,28,79,249
1/8/2016,2016,8,August,8668,28,76,160
1/9/2016,2016,9,September,6978,28,78,256
1/10/2016,2016,10,October,5906,28,79,277
1/11/2016,2016,11,November,5024,27,85,339
1/12/2016,2016,12,December,6130,28,80,271
1/1/2017,2017,1,January,7622,27,79,289
1/2/2017,2017,2,February,7123,28,75,236
1/3/2017,2017,3,March,7844,28,79,268
1/4/2017,2017,4,April,7960,28,82,270
1/5/2017,2017,5,May,9074,28,80,301
1/6/2017,2017,6,June,8494,28,79,199
1/7/2017,2017,7,July,8250,28,76,162
1/8/2017,2017,8,August,6292,28,78,296
1/9/2017,2017,9,September,4694,28,80,291
1/10/2017,2017,10,October,4602,28,79,251
1/11/2017,2017,11,November,3713,27,85,373
1/12/2017,2017,12,December,3955,28,79,311
1/1/2018,2018,1,January,4472,27,82,382
1/2/2018,2018,2,February,4493,28,69,170
1/3/2018,2018,3,March,4520,28,75,211
1/4/2018,2018,4,April,4581,29,76,239
1/5/2018,2018,5,May,5367,28,80,292
1/6/2018,2018,6,June,7340,28,79,172
1/7/2018,2018,7,July,8426,28,80,147
1/8/2018,2018,8,August,7311,28,75,126
1/9/2018,2018,9,September,5277,27,79,250
1/10/2018,2018,10,October,6376,27,82,330
1/11/2018,2018,11,November,8049,27,83,296
1/12/2018,2018,12,December,10020,27,84,286
1/1/2019,2019,1,January,14115,28,74,206
1/2/2019,2019,2,February,10913,29,72,136
1/3/2019,2019,3,March,9823,29,73,145
1/4/2019,2019,4,April,8501,29,79,193
1/5/2019,2019,5,May,11518,29,77,203
1/6/2019,2019,6,June,10686,28,81,271
1/7/2019,2019,7,July,14362,28,78,150
1/8/2019,2019,8,August,11852,28,78,137
1/9/2019,2019,9,September,9555,28,76,145
1/10/2019,2019,10,October,7910,27,82,343
1/11/2019,2019,11,November,9288,28,81,270
1/12/2019,2019,12,December,11248,28,77,314
1/1/2020,2020,1,January,12817,28,73,183
1/2/2020,2020,2,February,10181,28,72,171
1/3/2020,2020,3,March,7047,29,76,208
1/4/2020,2020,4,April,5107,29,78,249
1/5/2020,2020,5,May,7071,29,82,276
1/6/2020,2020,6,June,8173,28,80,277
1/7/2020,2020,7,July,8288,27,82,307
1/8/2020,2020,8,August,7196,28,78,200
1/9/2020,2020,9,September,5425,27,81,337
1/10/2020,2020,10,October,4699,28,81,258
1/11/2020,2020,11,November,3628,27,86,381
1/12/2020,2020,12,December,3107,27,82,283
