year,cases_from_monthly_dataset,total_rainfall,avg_temperature,avg_humidity,cases_official
1999,,,,,10146.0
2000,,,,,7103.0
2001,,,,,16368.0
2002,,,,,32767.0
2003,,,,,31545.0
2004,,,,,33895.0
2005,,,,,39686.0
2006,,,,,38556.0
2007,,,,,48846.0
2008,,,,,49335.0
2009,,,,,41486.0
2010,,,,,46171.0
2011,,,,,19884.0
2012,,,,,21900.0
2013,51408.0,3102.0,27.75,78.91666666666667,43346.0
2014,102264.0,2837.0,28.083333333333332,77.0,108698.0
2015,108842.0,2676.0,27.75,77.5,120836.0
2016,94497.0,2740.0,28.083333333333332,77.75,101357.0
2017,79623.0,3247.0,27.833333333333332,79.25,83849.0
2018,76232.0,2901.0,27.666666666666668,78.66666666666667,80615.0
2019,129771.0,2513.0,28.25,77.33333333333333,130101.0
2020,82739.0,3130.0,27.916666666666668,79.25,
